episode,policy,episode_return,attack_success_rate,false_positive_rate
1,always_allow,-29.0,1.0,0.0
2,always_allow,-25.0,1.0,0.0
3,always_allow,-20.0,1.0,0.0
4,always_allow,-19.0,1.0,0.0
5,always_allow,-20.0,1.0,0.0
6,always_allow,-20.0,1.0,0.0
7,always_allow,-7.0,1.0,0.0
8,always_allow,-30.0,1.0,0.0
9,always_allow,-23.0,1.0,0.0
10,always_allow,-23.0,1.0,0.0
11,always_allow,-10.0,1.0,0.0
12,always_allow,-19.0,1.0,0.0
13,always_allow,-19.0,1.0,0.0
14,always_allow,-20.0,1.0,0.0
15,always_allow,-15.0,1.0,0.0
16,always_allow,-22.0,1.0,0.0
17,always_allow,-20.0,1.0,0.0
18,always_allow,-19.0,1.0,0.0
19,always_allow,-19.0,1.0,0.0
20,always_allow,-18.0,1.0,0.0
1,always_block,10.0,0.0,1.0
2,always_block,4.0,0.0,1.0
3,always_block,-35.0,0.0,1.0
4,always_block,4.0,0.0,1.0
5,always_block,4.0,0.0,1.0
6,always_block,-31.0,0.0,1.0
7,always_block,-32.0,0.0,1.0
8,always_block,15.0,0.0,1.0
9,always_block,-34.0,0.0,1.0
10,always_block,13.0,0.0,1.0
11,always_block,9.0,0.0,1.0
12,always_block,12.0,0.0,1.0
13,always_block,8.0,0.0,1.0
14,always_block,-35.0,0.0,1.0
15,always_block,5.0,0.0,1.0
16,always_block,11.0,0.0,1.0
17,always_block,-31.0,0.0,1.0
18,always_block,16.0,0.0,1.0
19,always_block,-2.0,0.0,1.0
20,always_block,9.0,0.0,1.0
1,heuristic,28.5,0.0,0.7174
2,heuristic,35.0,0.0,0.7419
3,heuristic,24.3,0.0,0.5679
4,heuristic,22.9,0.0,0.8
5,heuristic,23.7,0.0,0.7955
6,heuristic,61.9,0.0,0.25
7,heuristic,40.3,0.0,0.6286
8,heuristic,60.5,0.0,0.2588
9,heuristic,37.2,0.0,0.4458
10,heuristic,55.9,0.0,0.2976
11,heuristic,27.4,0.0,0.8049
12,heuristic,49.1,0.0,0.3537
13,heuristic,27.6,0.0,0.7674
14,heuristic,25.8,0.0,0.8095
15,heuristic,36.4,0.0,0.6
16,heuristic,25.4,0.0,0.8095
17,heuristic,80.2,0.0,0.1136
18,heuristic,79.3,0.0,0.1222
19,heuristic,69.1,0.0,0.1882
20,heuristic,48.9,0.0,0.3529
